user_id,hidden_time,time_to_completion,reach_end,raw_session_length,session_length,SP,MP,LP,VLP,NARRATIVE_ELEMENT_CHANGE,PLAY_PAUSE_BUTTON_CLICKED,LINK_CHOICE_CLICKED,SUBTITLES_BUTTON_CLICKED,BACK_BUTTON_CLICKED,SEEK_FORWARD_BUTTON_CLICKED,VIDEO_SCRUBBED,WINDOW_ORIENTATION_CHANGE,VOLUME_CHANGE,FULLSCREEN_BUTTON_CLICKED,SEEK_BACKWARD_BUTTON_CLICKED,NEXT_BUTTON_CLICKED,BROWSER_VISIBILITY_CHANGE,USER_SET_VARIABLE,total_events,FA-Score,AE-Score,PU-Score,RW-Score,UES-Score
ff4ef58c-8a0e-471e-b2ad-9c73ff20eee8,295.713,3491.3599999999997,True,4666.918,4371.205,1,0,1,3,78,2,41,0,0,0,1,0,0,2,0,0,2,0,126,4.33,5.0,5.0,5.0,4.83
624ea4b0-6dd6-45de-b3db-178de5f02dcc,0.0,2081.644,True,3111.614,3111.614,11,0,2,6,59,2,21,0,30,0,0,0,0,1,1,6,0,0,120,5.0,5.0,5.0,5.0,5.0
2c382993-a45e-454b-afb8-55ba3a0809e3,0.0,2240.269,True,2654.944,2654.944,1,2,0,5,43,0,26,0,0,0,1,0,0,3,0,6,1,0,80,4.67,5.0,3.67,5.0,4.58
5e3166c0-44f6-47c9-9190-8b3a56b8dd2c,2106.29,1115.3360000000002,True,3370.913,1264.623,8,4,7,10,71,12,18,0,18,0,0,16,0,1,0,18,9,0,163,4.33,5.0,3.67,4.67,4.42
389eacfb-74bf-4f2e-b0ae-4527fd5e7185,10.909,3885.058,True,4884.964,4874.055,20,3,5,11,85,14,40,0,32,3,3,5,0,4,4,36,3,0,229,4.33,4.0,3.67,4.67,4.17
89e19b0a-fd68-41f2-9b73-0185df581925,1.328,3596.946,True,4517.305,4515.977,1,0,0,1,77,0,40,0,0,2,0,0,0,0,0,2,3,0,124,3.0,3.0,3.33,4.67,3.5
1afe8993-eb7a-4750-9c27-b44bd7d7177b,0.0,1825.291,True,2062.067,2062.067,1,2,1,6,46,0,19,0,0,0,7,0,0,0,0,6,1,0,79,3.0,3.0,3.0,3.0,3.0
aa213350-6b5f-4751-a015-ec007edd497a,0.0,1808.018,True,2800.007,2800.007,3,4,5,14,62,4,31,0,18,0,0,0,0,2,2,30,0,0,149,4.0,4.33,3.33,4.33,4.0
cf7f20b2-0517-4897-93f9-c276ff8f2d5f,0.659,3737.942,True,4877.334,4876.675,1,2,1,3,83,2,29,0,4,0,0,3,0,3,0,0,3,0,127,4.0,4.33,4.33,5.0,4.42
6b6751d8-6752-4c6b-be34-06efe4aa0b0b,0.0,1596.474,True,1803.663,1803.663,1,3,5,1,49,0,46,0,0,0,0,0,0,0,0,20,0,0,115,3.0,2.33,5.0,5.0,3.83
37a2d6c7-9fba-44f2-9675-6f305e2b1d40,2.977,4480.534000000001,True,5399.994,5397.017,0,0,0,2,88,2,47,0,0,0,0,0,0,0,0,0,3,0,140,5.0,5.0,5.0,5.0,5.0
